Question_Index,Expected_Answer,Response_No_Python,Response_With_Python,Percent_Error_No_Python,Percent_Error_With_Python
0,336.37,335.54,336.37,0.2467520884739971,0.0
1,19.77,18.48,19.77,6.525037936267067,0.0
2,88.85,84.78,88.85,4.580754079909953,0.0
3,1637.97,1517.12,1637.97,7.378035006746164,0.0
4,1713.37,1347.73,1713.37,21.340399329975423,0.0
5,44289.03,44250.0,44289.03,0.08812566001106557,0.0
6,171836.0,120189.17,171835.94,30.055884680742107,3.4917013895616575e-05
7,-1954.91,934.81,-1954.91,147.8185696528229,0.0
8,15.0,13.52,15.0,9.866666666666669,0.0
9,909.09,909.09,909.09,0.0,0.0
10,64843.56,64150.23,64843.56,1.0692349402161054,0.0
11,15.94,15.93,15.94,0.06273525721455324,0.0
12,1869.07,1.46,1869.07,99.92188628569288,0.0
13,11969.6,20117.29,11969.6,68.0698603127924,0.0
14,388075.82,386731.82,388075.83,0.3463240765683365,2.576816048295208e-06
15,8.51,9.64,8.51,13.27849588719155,0.0
16,570455.96,614387.72,570455.96,7.701165923483385,0.0
17,74.7,104.36,74.7,39.70548862115126,0.0
18,123592.35,196150.89,123592.35,58.707954011716744,0.0
19,5122.28,12276.26,5122.28,139.6639777599038,0.0
