Question_Index,Expected_Answer,Response_No_Python,Response_With_Python,Percent_Error_No_Python,Percent_Error_With_Python
0,80500.0,80500.0,80500.0,0.0,0.0
1,6.4,6.39,6.4,0.15625000000001055,0.0
2,7.02,7.05,7.25,0.42735042735043094,3.2763532763532823
3,7.35,7.1,7.6,3.4013605442176873,3.4013605442176873
4,84000.0,84000.0,84000.0,0.0,0.0
5,6.39,6.39,6.39,0.0,0.0
6,6.98,6.9,6.98,1.1461318051575942,0.0
7,7.31,6.93,7.56,5.198358413132693,3.4199726402188784
8,6.63,6.44,6.63,2.8657616892910935,0.0
9,7.21,7.33,5.47,1.664355062413316,24.13314840499307
10,7.49,7.52,7.75,0.4005340453938499,3.471295060080104
11,7.49,7.53,7.76,0.5340453938584784,3.6048064085447202
